id,plan_name,sector_id,sector,metric_name,metric_id,value,category_id,category_name,description,source,iso3
1050,Lebanon Emergency Response Plan 2021,0,Total,Targeted,target,1091671,Total,Total,Plan caseload final figures,"",LBN
1050,Lebanon Emergency Response Plan 2021,0,Total,Expected Reach,expectedReach,,Total,Total,Plan caseload final figures,"",LBN
1051,Myanmar Interim Emergency Response Plan 2021,0,Total,Total Population,totalPopulation,54400000,Total,Total,Plan Caseload,Myanmar Interim Emergency Response Plan  2021 - Overview,MMR
1051,Myanmar Interim Emergency Response Plan 2021,0,Total,In Need,inNeed,2128218,Total,Total,Plan Caseload,Myanmar Interim Emergency Response Plan  2021 - Overview,MMR
1051,Myanmar Interim Emergency Response Plan 2021,0,Total,Targeted,target,2127532,Total,Total,Plan Caseload,Myanmar Interim Emergency Response Plan  2021 - Overview,MMR
1051,Myanmar Interim Emergency Response Plan 2021,0,Total,Expected Reach,expectedReach,1533000,Total,Total,Plan Caseload,Myanmar Interim Emergency Response Plan  2021 - Overview,MMR
1052,Guatemala Plan de Respuesta Humanitario 2021,0,Total,Población Total,totalPopulation,17100000,Total,Total,Plan caseload,HRP,GTM
1052,Guatemala Plan de Respuesta Humanitario 2021,0,Total,Personas Afectadas,affected,4800000,Total,Total,Plan caseload,HRP,GTM
1052,Guatemala Plan de Respuesta Humanitario 2021,0,Total,Personas con Necesidades,inNeed,3800000,Total,Total,Plan caseload,HRP,GTM
1052,Guatemala Plan de Respuesta Humanitario 2021,0,Total,Población Meta,target,1680000,Total,Total,Plan caseload,HRP,GTM
1052,Guatemala Plan de Respuesta Humanitario 2021,0,Total,Alcance esperado,expectedReach,136051,Total,Total,Plan caseload,HRP,GTM
1053,Honduras Plan de Respuesta Humanitario 2021,0,Total,Población Total,totalPopulation,10100000,Total,Total,Caseload PIN Honduras,HNO/HRP,HND
1053,Honduras Plan de Respuesta Humanitario 2021,0,Total,Personas Afectadas,affected,4e+06,Total,Total,Caseload PIN Honduras,HNO/HRP,HND
1053,Honduras Plan de Respuesta Humanitario 2021,0,Total,Personas con Necesidades,inNeed,2800000,Total,Total,Caseload PIN Honduras,HNO/HRP,HND
1053,Honduras Plan de Respuesta Humanitario 2021,0,Total,Población Meta,target,1800000,Total,Total,Caseload PIN Honduras,HNO/HRP,HND
1053,Honduras Plan de Respuesta Humanitario 2021,0,Total,Alcance esperado,expectedReach,28000,Total,Total,Caseload PIN Honduras,HNO/HRP,HND
1054,El Salvador Plan de Respuesta Humanitario 2021,0,Total,Población Total,totalPopulation,6779443,Total,Total,Plan Estimates,OCHA,SLV
1054,El Salvador Plan de Respuesta Humanitario 2021,0,Total,Personas Afectadas,affected,3223452,Total,Total,Plan Estimates,OCHA,SLV
1054,El Salvador Plan de Respuesta Humanitario 2021,0,Total,Personas con Necesidades,inNeed,1700000,Total,Total,Plan Estimates,OCHA,SLV
1054,El Salvador Plan de Respuesta Humanitario 2021,0,Total,Población Meta,target,912200,Total,Total,Plan Estimates,OCHA,SLV
1054,El Salvador Plan de Respuesta Humanitario 2021,0,Total,Alcance esperado,expectedReach,47687,Total,Total,Plan Estimates,OCHA,SLV
1055,Northern Ethiopia Response Plan 2021,0,Total,Total Population,totalPopulation,103726285,Total,Total,Plan Caseload,Plan caseload,ETH
1055,Northern Ethiopia Response Plan 2021,0,Total,In Need,inNeed,5235763,Total,Total,Plan Caseload,Plan caseload,ETH
1055,Northern Ethiopia Response Plan 2021,0,Total,Targeted,target,5235763,Total,Total,Plan Caseload,Plan caseload,ETH
1055,Northern Ethiopia Response Plan 2021,0,Total,Expected Reach,expectedReach,1719965,Total,Total,Plan Caseload,Plan caseload,ETH
1056,Haiti Flash Appeal 2021,0,Total,Population,totalPopulation,1400000,Total,Total,Flash Appeal caseload,"",HTI
1056,Haiti Flash Appeal 2021,0,Total,Affected,affected,,Total,Total,Flash Appeal caseload,"",HTI
1056,Haiti Flash Appeal 2021,0,Total,In Need,inNeed,39157,Total,Total,Flash Appeal caseload,"",HTI
1056,Haiti Flash Appeal 2021,0,Total,Targeted,target,271156,Total,Total,Flash Appeal caseload,"",HTI
1056,Haiti Flash Appeal 2021,0,Total,Expected Reach,expectedReach,166823,Total,Total,Flash Appeal caseload,"",HTI
1057,Afghanistan Flash Appeal 2021,0,Total,Population,totalPopulation,4e+07,Total,Total,"","",AFG
1057,Afghanistan Flash Appeal 2021,0,Total,Affected,affected,,Total,Total,"","",AFG
1057,Afghanistan Flash Appeal 2021,0,Total,In Need,inNeed,0,Total,Total,"","",AFG
1057,Afghanistan Flash Appeal 2021,0,Total,Targeted,target,0,Total,Total,"","",AFG
1057,Afghanistan Flash Appeal 2021,0,Total,Expected Reach,expectedReach,0,Total,Total,"","",AFG
1073,Kenya Drought Flash Appeal 2021,0,Total,Population,totalPopulation,5.5e+07,Total,Total,2021 Plan Caseload,"",KEN
1073,Kenya Drought Flash Appeal 2021,0,Total,Affected,affected,,Total,Total,2021 Plan Caseload,"",KEN
1073,Kenya Drought Flash Appeal 2021,0,Total,In Need,inNeed,2945397,Total,Total,2021 Plan Caseload,"",KEN
1073,Kenya Drought Flash Appeal 2021,0,Total,Targeted,target,1293570,Total,Total,2021 Plan Caseload,"",KEN
1073,Kenya Drought Flash Appeal 2021,0,Total,Expected Reach,expectedReach,795000,Total,Total,2021 Plan Caseload,"",KEN
