id,plan_name,sector_id,sector,metric_name,metric_id,value,category_id,category_name,description,source,iso3
1020,Syria Refugee Response and Resilience Plan (3RP) 2021,0,Total,Affected,affected,,Total,Total,"",Final caseload,EGY; TUR; LBN; IRQ; JOR
1020,Syria Refugee Response and Resilience Plan (3RP) 2021,0,Total,In Need,inNeed,10316142,Total,Total,"",Final caseload,EGY; TUR; LBN; IRQ; JOR
1020,Syria Refugee Response and Resilience Plan (3RP) 2021,0,Total,Targeted,target,10316142,Total,Total,"",Final caseload,EGY; TUR; LBN; IRQ; JOR
1020,Syria Refugee Response and Resilience Plan (3RP) 2021,0,Total,Expected Reach,expectedReach,,Total,Total,"",Final caseload,EGY; TUR; LBN; IRQ; JOR
1021,Refugee and Migrant Response Plan for Venezuela 2021 (RMRP),0,Total,Population,totalPopulation,,Total,Total,Final caseload,"",ECU; BRA; COL; MEX; CHL; DOM; TTO; PAN; BOL; CRI; PRY; ABW; CUW; ARG; GUY; URY; PER
1021,Refugee and Migrant Response Plan for Venezuela 2021 (RMRP),0,Total,Affected,affected,,Total,Total,Final caseload,"",ECU; BRA; COL; MEX; CHL; DOM; TTO; PAN; BOL; CRI; PRY; ABW; CUW; ARG; GUY; URY; PER
1021,Refugee and Migrant Response Plan for Venezuela 2021 (RMRP),0,Total,In Need,inNeed,7203586,Total,Total,Final caseload,"",ECU; BRA; COL; MEX; CHL; DOM; TTO; PAN; BOL; CRI; PRY; ABW; CUW; ARG; GUY; URY; PER
1021,Refugee and Migrant Response Plan for Venezuela 2021 (RMRP),0,Total,Targeted,target,3295457,Total,Total,Final caseload,"",ECU; BRA; COL; MEX; CHL; DOM; TTO; PAN; BOL; CRI; PRY; ABW; CUW; ARG; GUY; URY; PER
1021,Refugee and Migrant Response Plan for Venezuela 2021 (RMRP),0,Total,Expected Reach,expectedReach,,Total,Total,Final caseload,"",ECU; BRA; COL; MEX; CHL; DOM; TTO; PAN; BOL; CRI; PRY; ABW; CUW; ARG; GUY; URY; PER
1023,Bangladesh: Rohingya Refugee Crisis Joint Response Plan 2021,0,Total,Population,totalPopulation,,Total,Total,"",GHO Estimates,BGD
1023,Bangladesh: Rohingya Refugee Crisis Joint Response Plan 2021,0,Total,Affected,affected,,Total,Total,"",GHO Estimates,BGD
1023,Bangladesh: Rohingya Refugee Crisis Joint Response Plan 2021,0,Total,In Need,inNeed,1356043,Total,Total,"",GHO Estimates,BGD
1023,Bangladesh: Rohingya Refugee Crisis Joint Response Plan 2021,0,Total,Targeted,target,1356043,Total,Total,"",GHO Estimates,BGD
1023,Bangladesh: Rohingya Refugee Crisis Joint Response Plan 2021,0,Total,Expected Reach,expectedReach,,Total,Total,"",GHO Estimates,BGD
1024,Yemen Humanitarian Response Plan 2021,0,Total,Population,totalPopulation,30800000,Total,Total,Plan Caseload Final,Final caseload,YEM
1024,Yemen Humanitarian Response Plan 2021,0,Total,Affected,affected,,Total,Total,Plan Caseload Final,Final caseload,YEM
1024,Yemen Humanitarian Response Plan 2021,0,Total,In Need,inNeed,20700000,Total,Total,Plan Caseload Final,Final caseload,YEM
1024,Yemen Humanitarian Response Plan 2021,0,Total,Targeted,target,1.6e+07,Total,Total,Plan Caseload Final,Final caseload,YEM
1024,Yemen Humanitarian Response Plan 2021,0,Total,Expected Reach,expectedReach,10900000,Total,Total,Plan Caseload Final,Final caseload,YEM
1025,République Centrafricaine Plan de Réponse Humanitaire 2021,0,Total,Population,totalPopulation,4900000,Total,Total,Plan Caseload Final HRP,HRP,CAF
1025,République Centrafricaine Plan de Réponse Humanitaire 2021,0,Total,Affectées,affected,,Total,Total,Plan Caseload Final HRP,HRP,CAF
1025,République Centrafricaine Plan de Réponse Humanitaire 2021,0,Total,Dans le besoin,inNeed,2800000,Total,Total,Plan Caseload Final HRP,HRP,CAF
1025,République Centrafricaine Plan de Réponse Humanitaire 2021,0,Total,Ciblées,target,1840000,Total,Total,Plan Caseload Final HRP,HRP,CAF
1025,République Centrafricaine Plan de Réponse Humanitaire 2021,0,Total,Atteintes Attendues,expectedReach,1700000,Total,Total,Plan Caseload Final HRP,HRP,CAF
1026,République Démocratique du Congo Plan de Réponse Humanitaire 2021,0,Total,Population,totalPopulation,103199349,Total,Total,Plan Caseload,PRH,COD
1026,République Démocratique du Congo Plan de Réponse Humanitaire 2021,0,Total,Affectées,affected,,Total,Total,Plan Caseload,PRH,COD
1026,République Démocratique du Congo Plan de Réponse Humanitaire 2021,0,Total,Dans le besoin,inNeed,19616782,Total,Total,Plan Caseload,PRH,COD
1026,République Démocratique du Congo Plan de Réponse Humanitaire 2021,0,Total,Ciblées,target,9611247,Total,Total,Plan Caseload,PRH,COD
1026,République Démocratique du Congo Plan de Réponse Humanitaire 2021,0,Total,Atteintes Attendues,expectedReach,7060000,Total,Total,Plan Caseload,PRH,COD
1027,Libya Humanitarian Response Plan 2021,0,Total,Population,totalPopulation,7392988,Total,Total,Plan Caseload final,Final HRP,LBY
1027,Libya Humanitarian Response Plan 2021,0,Total,Affected,affected,2475441,Total,Total,Plan Caseload final,Final HRP,LBY
1027,Libya Humanitarian Response Plan 2021,0,Total,In Need,inNeed,1250662,Total,Total,Plan Caseload final,Final HRP,LBY
1027,Libya Humanitarian Response Plan 2021,0,Total,Targeted,target,451000,Total,Total,Plan Caseload final,Final HRP,LBY
1027,Libya Humanitarian Response Plan 2021,0,Total,Expected Reach,expectedReach,5e+05,Total,Total,Plan Caseload final,Final HRP,LBY
1028,Tchad Plan de Réponse Humanitaire 2021,0,Total,Population,totalPopulation,16818393,Total,Total,Final Plan Caseload,HRP,TCD
1028,Tchad Plan de Réponse Humanitaire 2021,0,Total,Affectées,affected,,Total,Total,Final Plan Caseload,HRP,TCD
1028,Tchad Plan de Réponse Humanitaire 2021,0,Total,Dans le besoin,inNeed,5496653,Total,Total,Final Plan Caseload,HRP,TCD
1028,Tchad Plan de Réponse Humanitaire 2021,0,Total,Ciblées,target,3963577,Total,Total,Final Plan Caseload,HRP,TCD
1028,Tchad Plan de Réponse Humanitaire 2021,0,Total,Atteintes Attendues,expectedReach,2e+06,Total,Total,Final Plan Caseload,HRP,TCD
1029,Venezuela Plan de Respuesta Humanitario 2021,0,Total,Población Total,totalPopulation,28700000,Total,Total,Plan Caseload Estimate,GHO Estimates,VEN
1029,Venezuela Plan de Respuesta Humanitario 2021,0,Total,Personas Afectadas,affected,,Total,Total,Plan Caseload Estimate,GHO Estimates,VEN
1029,Venezuela Plan de Respuesta Humanitario 2021,0,Total,Personas con Necesidades,inNeed,7e+06,Total,Total,Plan Caseload Estimate,GHO Estimates,VEN
1029,Venezuela Plan de Respuesta Humanitario 2021,0,Total,Población Meta,target,4500000,Total,Total,Plan Caseload Estimate,GHO Estimates,VEN
1029,Venezuela Plan de Respuesta Humanitario 2021,0,Total,Alcance esperado,expectedReach,4e+06,Total,Total,Plan Caseload Estimate,GHO Estimates,VEN
1030,Cameroon Humanitarian Response Plan 2021,0,Total,Population,totalPopulation,26500000,Total,Total,Plan Caseload Estimate,GHO Estimates,CMR
1030,Cameroon Humanitarian Response Plan 2021,0,Total,Affected,affected,,Total,Total,Plan Caseload Estimate,GHO Estimates,CMR
1030,Cameroon Humanitarian Response Plan 2021,0,Total,In Need,inNeed,4406243,Total,Total,Plan Caseload Estimate,GHO Estimates,CMR
1030,Cameroon Humanitarian Response Plan 2021,0,Total,Targeted,target,3024835,Total,Total,Plan Caseload Estimate,GHO Estimates,CMR
1030,Cameroon Humanitarian Response Plan 2021,0,Total,Expected Reach,expectedReach,1600000,Total,Total,Plan Caseload Estimate,GHO Estimates,CMR
1031,Afghanistan Humanitarian Response Plan 2021,0,Total,Population,totalPopulation,41727304,Total,Total,Plan Caseload Final,HRP,AFG
1031,Afghanistan Humanitarian Response Plan 2021,0,Total,Affected,affected,,Total,Total,Plan Caseload Final,HRP,AFG
1031,Afghanistan Humanitarian Response Plan 2021,0,Total,In Need,inNeed,18400000,Total,Total,Plan Caseload Final,HRP,AFG
1031,Afghanistan Humanitarian Response Plan 2021,0,Total,Targeted,target,17700000,Total,Total,Plan Caseload Final,HRP,AFG
1031,Afghanistan Humanitarian Response Plan 2021,0,Total,Expected Reach,expectedReach,17500000,Total,Total,Plan Caseload Final,HRP,AFG
1032,Nigeria Humanitarian Response Plan 2021,0,Total,Population,totalPopulation,211400000,Total,Total,2021 Plan Caseload,2021 HRP figures,NGA
1032,Nigeria Humanitarian Response Plan 2021,0,Total,Affected,affected,,Total,Total,2021 Plan Caseload,2021 HRP figures,NGA
1032,Nigeria Humanitarian Response Plan 2021,0,Total,In Need,inNeed,8700000,Total,Total,2021 Plan Caseload,2021 HRP figures,NGA
1032,Nigeria Humanitarian Response Plan 2021,0,Total,Targeted,target,6400000,Total,Total,2021 Plan Caseload,2021 HRP figures,NGA
1032,Nigeria Humanitarian Response Plan 2021,0,Total,Expected Reach,expectedReach,4800000,Total,Total,2021 Plan Caseload,2021 HRP figures,NGA
1033,Niger Plan de Réponse Humanitaire 2021,0,Total,Population,totalPopulation,24200000,Total,Total,Plan Caseload,"NER HRP 2021, NER HNO 2021",NER
1033,Niger Plan de Réponse Humanitaire 2021,0,Total,Affectées,affected,,Total,Total,Plan Caseload,"NER HRP 2021, NER HNO 2021",NER
1033,Niger Plan de Réponse Humanitaire 2021,0,Total,Dans le besoin,inNeed,3821659,Total,Total,Plan Caseload,"NER HRP 2021, NER HNO 2021",NER
1033,Niger Plan de Réponse Humanitaire 2021,0,Total,Ciblées,target,2072941,Total,Total,Plan Caseload,"NER HRP 2021, NER HNO 2021",NER
1033,Niger Plan de Réponse Humanitaire 2021,0,Total,Atteintes Attendues,expectedReach,1700000,Total,Total,Plan Caseload,"NER HRP 2021, NER HNO 2021",NER
1034,Pakistan Humanitarian Response Plan 2021,0,Total,Population,totalPopulation,207770000,Total,Total,Plan Caseload Final HRP,HRP,PAK
1034,Pakistan Humanitarian Response Plan 2021,0,Total,Affected,affected,,Total,Total,Plan Caseload Final HRP,HRP,PAK
1034,Pakistan Humanitarian Response Plan 2021,0,Total,In Need,inNeed,1.1e+07,Total,Total,Plan Caseload Final HRP,HRP,PAK
