aar_id,title,gsu_analysis_title,date,anl_id,code,country,area,overall_phase,p3_plus_population,p3_plus_population_percentage,analysis_date,fanalysis_date,current_from_date,current_thru_date,projected_from_date,projected_thru_date,second_projected_from_date,second_projected_thru_date,current_period_dates,projected_period_dates,second_projected_period_dates,analysis_period,estimated_population_current,estimated_population_projected,estimated_population_second_projected,group_name,aag_id,condition,period,census_population,view_level,phase1_C_population,phase1_C_percentage,phase6_C_population,phase6_C_percentage,overall_phase_C,phase2_C_population,phase2_C_percentage,phase3_C_population,phase3_C_percentage,phase4_C_population,phase4_C_percentage,phase5_C_population,phase5_C_percentage,phase3_P_population,phase3_P_percentage,phase6_P_population,phase6_P_percentage,overall_phase_P,phase2_P_population,phase2_P_percentage,phase5_P_population,phase5_P_percentage,phase4_P_population,phase4_P_percentage,phase1_P_population,phase1_P_percentage,phase3_A_population,phase3_A_percentage,phase6_A_population,phase6_A_percentage,overall_phase_A,phase1_A_population,phase1_A_percentage,phase2_A_population,phase2_A_percentage,phase4_A_population,phase4_A_percentage,phase5_A_population,phase5_A_percentage
21142883,Acute Food Insecurity November 2020 (G.Sud- Sud E),Acute Food Insecurity and Acute Malnutrition Situation for October - December 2020 and Projection for January - April 2021,"Dec 17, 2020",21142855,MG,Madagascar,Bekily,3,112352,0.45,Nov 2020,20201130,Oct 2020,Dec 2020,Jan 2021,Apr 2021,,,Oct 2020 - Dec 2020,Jan 2021 - Apr 2021,"",Jan 2021 - Apr 2021,249670,249670,0,Androy,21142871,A,C,25680342,area,49934,0.2,112352,0.45,3,87385,0.35,74901,0.3,37451,0.15,0,0,99868,0.4,149802,0.6,4,49934,0.2,0,0,49934,0.2,49934,0.2,,,,,,,,,,,,,
21142885,Acute Food Insecurity November 2020 (G.Sud- Sud E),Acute Food Insecurity and Acute Malnutrition Situation for October - December 2020 and Projection for January - April 2021,"Dec 17, 2020",21142855,MG,Madagascar,Vohipeno,2,22772,0.15,Nov 2020,20201130,Oct 2020,Dec 2020,Jan 2021,Apr 2021,,,Oct 2020 - Dec 2020,Jan 2021 - Apr 2021,"",Jan 2021 - Apr 2021,151812,151812,0,Vatovavy Fitovinany,21142864,A,C,25680342,area,60725,0.4,22772,0.15,2,68315,0.45,22772,0.15,0,0,0,0,22772,0.15,22772,0.15,2,91087,0.6,0,0,0,0,37953,0.25,,,,,,,,,,,,,
21142887,Acute Food Insecurity November 2020 (G.Sud- Sud E),Acute Food Insecurity and Acute Malnutrition Situation for October - December 2020 and Projection for January - April 2021,"Dec 17, 2020",21142855,MG,Madagascar,Tsihombe,3,55263,0.35,Nov 2020,20201130,Oct 2020,Dec 2020,Jan 2021,Apr 2021,,,Oct 2020 - Dec 2020,Jan 2021 - Apr 2021,"",Jan 2021 - Apr 2021,157893,157893,0,Androy,21142871,A,C,25680342,area,23684,0.15,55263,0.35,3,78947,0.5,47368,0.3,7895,0.05,0,0,55263,0.35,55263,0.35,3,78947,0.5,0,0,0,0,23684,0.15,,,,,,,,,,,,,
24398140,Acute Food Insecurity September 2021 (2021B),Acute Food Insecurity Situation June - September 2021 and Projections for October - December 2021 and January - March 2022,"Nov 02, 2021",24398137,BI,Burundi,Dépressions de l`Est,2,94505,0.1,Sep 2021,20210906,Jun 2021,Sep 2021,Oct 2021,Dec 2021,Jan 2022,Mar 2022,Jun 2021 - Sep 2021,Oct 2021 - Dec 2021,Jan 2022 - Mar 2022,Jan 2022 - Mar 2022,945057,945057,964836,,,A,C,12495569,area,614287,0.65,94505,0.1,2,236264,0.25,94505,0.1,0,0,0,0,141758,0.15,141758,0.15,2,283517,0.3,0,0,0,0,519781,0.55,48242,0.05,48242,0.05,2,675385,0.7,241209,0.25,0,0,0,0
24398142,Acute Food Insecurity September 2021 (2021B),Acute Food Insecurity Situation June - September 2021 and Projections for October - December 2021 and January - March 2022,"Nov 02, 2021",24398137,BI,Burundi,Dépressions du nord,2,102737,0.1,Sep 2021,20210906,Jun 2021,Sep 2021,Oct 2021,Dec 2021,Jan 2022,Mar 2022,Jun 2021 - Sep 2021,Oct 2021 - Dec 2021,Jan 2022 - Mar 2022,Jan 2022 - Mar 2022,1006306,1006306,1027367,,,A,A,12495569,area,553468,0.55,150946,0.15,2,301892,0.3,150946,0.15,0,0,0,0,150946,0.15,150946,0.15,2,352207,0.35,0,0,0,0,503153,0.5,102737,0.1,102737,0.1,2,616420,0.6,308210,0.3,0,0,0,0
24398144,Acute Food Insecurity September 2021 (2021B),Acute Food Insecurity Situation June - September 2021 and Projections for October - December 2021 and January - March 2022,"Nov 02, 2021",24398137,BI,Burundi,Haute altitude,2,69094,0.05,Sep 2021,20210906,Jun 2021,Sep 2021,Oct 2021,Dec 2021,Jan 2022,Mar 2022,Jun 2021 - Sep 2021,Oct 2021 - Dec 2021,Jan 2022 - Mar 2022,Jan 2022 - Mar 2022,1381883,1381883,1492476,,,A,C,12495569,area,1036412,0.75,69094,0.05,2,276376,0.2,69094,0.05,0,0,0,0,138188,0.1,138188,0.1,2,345470,0.25,0,0,0,0,898223,0.65,149248,0.1,149248,0.1,2,970109,0.65,373119,0.25,0,0,0,0
24398146,Acute Food Insecurity September 2021 (2021B),Acute Food Insecurity Situation June - September 2021 and Projections for October - December 2021 and January - March 2022,"Nov 02, 2021",24398137,BI,Burundi,Imbo,2,112730,0.1,Sep 2021,20210906,Jun 2021,Sep 2021,Oct 2021,Dec 2021,Jan 2022,Mar 2022,Jun 2021 - Sep 2021,Oct 2021 - Dec 2021,Jan 2022 - Mar 2022,Jan 2022 - Mar 2022,1127300,1127300,1150895,,,A,C,12495569,area,563650,0.5,112730,0.1,2,450920,0.4,112730,0.1,0,0,0,0,112730,0.1,112730,0.1,2,450920,0.4,0,0,0,0,563650,0.5,115090,0.1,115090,0.1,2,690537,0.6,345269,0.3,0,0,0,0
24398148,Acute Food Insecurity September 2021 (2021B),Acute Food Insecurity Situation June - September 2021 and Projections for October - December 2021 and January - March 2022,"Nov 02, 2021",24398137,BI,Burundi,Crête Congo Nil,2,65922,0.05,Sep 2021,20210906,Jun 2021,Sep 2021,Oct 2021,Dec 2021,Jan 2022,Mar 2022,Jun 2021 - Sep 2021,Oct 2021 - Dec 2021,Jan 2022 - Mar 2022,Jan 2022 - Mar 2022,1291418,1291418,1318447,,,A,A,12495569,area,968564,0.75,64571,0.05,2,258284,0.2,64571,0.05,0,0,0,0,64571,0.05,64571,0.05,2,258284,0.2,0,0,0,0,968564,0.75,65922,0.05,65922,0.05,2,988835,0.75,263689,0.2,0,0,0,0
24398150,Acute Food Insecurity September 2021 (2021B),Acute Food Insecurity Situation June - September 2021 and Projections for October - December 2021 and January - March 2022,"Nov 02, 2021",24398137,BI,Burundi,Buragane,2,31127,0.05,Sep 2021,20210906,Jun 2021,Sep 2021,Oct 2021,Dec 2021,Jan 2022,Mar 2022,Jun 2021 - Sep 2021,Oct 2021 - Dec 2021,Jan 2022 - Mar 2022,Jan 2022 - Mar 2022,609779,609779,622541,,,A,A,12495569,area,426845,0.7,30489,0.05,2,152445,0.25,30489,0.05,0,0,0,0,30489,0.05,30489,0.05,2,182934,0.3,0,0,0,0,396356,0.65,31127,0.05,31127,0.05,2,466906,0.75,124508,0.2,0,0,0,0
24398152,Acute Food Insecurity September 2021 (2021B),Acute Food Insecurity Situation June - September 2021 and Projections for October - December 2021 and January - March 2022,"Nov 02, 2021",24398137,BI,Burundi,Plateaux humides,2,350122,0.1,Sep 2021,20210906,Jun 2021,Sep 2021,Oct 2021,Dec 2021,Jan 2022,Mar 2022,Jun 2021 - Sep 2021,Oct 2021 - Dec 2021,Jan 2022 - Mar 2022,Jan 2022 - Mar 2022,3501229,3501229,3574508,,,A,C,12495569,area,1750614,0.5,350122,0.1,2,1400491,0.4,350122,0.1,0,0,0,0,525184,0.15,525184,0.15,2,1400491,0.4,0,0,0,0,1575553,0.45,357451,0.1,357451,0.1,2,1787254,0.5,1429803,0.4,0,0,0,0
